set gpu: 0,1
train dataset: torch.Size([3, 80, 80]) (x38400), 64
val dataset: torch.Size([3, 80, 80]) (x18748), 64
fs dataset: torch.Size([3, 80, 80]) (x12000), 20
num params: 8.0M
epoch 1, train 3.6488|0.1198, val 3.4242|0.1589, 55.4s 55.4s/1.5h
epoch 2, train 3.2283|0.1900, val 2.9788|0.2374, 50.9s 1.8m/1.5h
epoch 3, train 2.9735|0.2469, val 2.7188|0.2869, 49.4s 2.6m/1.5h
epoch 4, train 2.7260|0.2960, val 2.6849|0.3053, 49.9s 3.5m/1.5h
epoch 5, train 2.5407|0.3395, val 2.3991|0.3632, fs 1: 0.4589 5: 0.6149, 1.7m 5.2m/1.7h
epoch 6, train 2.3935|0.3740, val 2.2478|0.4035, 50.9s 6.1m/1.7h
epoch 7, train 2.2688|0.4018, val 2.2723|0.3990, 50.5s 7.0m/1.7h
epoch 8, train 2.1636|0.4269, val 2.0151|0.4618, 49.7s 7.8m/1.6h
epoch 9, train 2.0956|0.4461, val 2.0019|0.4633, 50.2s 8.7m/1.6h
epoch 10, train 2.0177|0.4641, val 1.9352|0.4777, fs 1: 0.4919 5: 0.6554, 1.7m 10.4m/1.7h
epoch 11, train 1.9605|0.4766, val 1.9635|0.4713, 51.1s 11.3m/1.7h
epoch 12, train 1.9010|0.4924, val 2.1429|0.4530, 50.9s 12.2m/1.7h
epoch 13, train 1.8510|0.5058, val 1.9970|0.4782, 50.6s 13.0m/1.7h
epoch 14, train 1.8122|0.5145, val 1.8458|0.5056, 51.7s 13.9m/1.7h
epoch 15, train 1.7819|0.5217, val 1.7470|0.5320, fs 1: 0.4965 5: 0.6701, 1.7m 15.6m/1.7h
epoch 16, train 1.7557|0.5277, val 1.6400|0.5560, 50.7s 16.5m/1.7h
epoch 17, train 1.7055|0.5435, val 1.6832|0.5427, 50.5s 17.4m/1.7h
epoch 18, train 1.6967|0.5424, val 1.8048|0.5204, 50.9s 18.2m/1.7h
epoch 19, train 1.6711|0.5497, val 1.8293|0.5258, 50.2s 19.1m/1.7h
epoch 20, train 1.6402|0.5591, val 1.5183|0.5920, fs 1: 0.5294 5: 0.7084, 1.7m 20.8m/1.7h
epoch 21, train 1.6358|0.5586, val 1.5112|0.5814, 50.1s 21.7m/1.7h
epoch 22, train 1.6125|0.5654, val 1.6176|0.5723, 50.0s 22.5m/1.7h
epoch 23, train 1.5916|0.5679, val 1.6895|0.5609, 51.3s 23.4m/1.7h
epoch 24, train 1.5903|0.5720, val 1.5536|0.5787, 50.8s 24.2m/1.7h
epoch 25, train 1.5656|0.5762, val 1.5921|0.5690, fs 1: 0.5366 5: 0.7053, 1.7m 25.9m/1.7h
epoch 26, train 1.5641|0.5749, val 1.5655|0.5772, 50.4s 26.8m/1.7h
epoch 27, train 1.5546|0.5820, val 1.6232|0.5644, 49.6s 27.6m/1.7h
epoch 28, train 1.5412|0.5844, val 1.6054|0.5689, 50.4s 28.5m/1.7h
epoch 29, train 1.5382|0.5833, val 1.6192|0.5649, 50.3s 29.3m/1.7h
epoch 30, train 1.5262|0.5876, val 1.6057|0.5668, fs 1: 0.5333 5: 0.7021, 1.7m 31.0m/1.7h
epoch 31, train 1.5132|0.5881, val 1.4686|0.6172, 51.0s 31.9m/1.7h
epoch 32, train 1.5091|0.5893, val 1.5987|0.5753, 51.1s 32.8m/1.7h
epoch 33, train 1.5032|0.5931, val 1.5246|0.5942, 50.6s 33.7m/1.7h
epoch 34, train 1.4931|0.5941, val 1.4658|0.6097, 50.5s 34.5m/1.7h
epoch 35, train 1.4812|0.5979, val 1.5975|0.5811, fs 1: 0.5403 5: 0.7112, 1.7m 36.2m/1.7h
epoch 36, train 1.4713|0.5984, val 1.4237|0.6180, 50.5s 37.1m/1.7h
epoch 37, train 1.4724|0.6011, val 1.4690|0.6033, 50.4s 38.0m/1.7h
epoch 38, train 1.4751|0.6003, val 1.5901|0.5799, 50.5s 38.8m/1.7h
epoch 39, train 1.4704|0.5989, val 1.5636|0.5789, 50.8s 39.7m/1.7h
epoch 40, train 1.4662|0.6039, val 1.6338|0.5683, fs 1: 0.5177 5: 0.6922, 1.7m 41.4m/1.7h
